19,Private,141418,Some-college,10,Never-married,?,Own-child,White,Male,0,0,15,United-States,0
21,Private,163665,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,0
51,Private,165637,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
18,Private,28357,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,0
24,Private,108495,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
41,Private,307589,Bachelors,13,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,5,Philippines,0
23,Private,62507,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,12,United-States,0
20,Private,163911,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,0
24,Private,196388,Assoc-acdm,12,Never-married,?,Not-in-family,White,Male,0,0,12,United-States,0
19,Private,80978,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,25,United-States,0
59,Private,220783,10th,6,Widowed,?,Unmarried,White,Female,0,0,40,United-States,0
17,Private,165361,10th,6,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
34,Private,197688,HS-grad,9,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,0
90,Private,77053,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,4356,40,United-States,0
55,Private,170994,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,0
18,Private,437851,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
33,Private,171637,HS-grad,9,Married-civ-spouse,?,Own-child,White,Female,0,0,20,United-States,0
72,Private,118902,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,2392,6,United-States,1
28,Private,197288,11th,7,Never-married,?,Unmarried,Black,Female,0,0,30,United-States,0
60,Private,251572,HS-grad,9,Widowed,?,Not-in-family,White,Male,0,0,35,Poland,0
66,Private,106791,HS-grad,9,Widowed,?,Unmarried,White,Female,0,0,40,United-States,0
38,Private,129150,10th,6,Separated,?,Own-child,White,Male,0,0,35,United-States,0
20,Private,337488,Some-college,10,Never-married,?,Own-child,Black,Male,0,0,30,United-States,0
18,Private,179484,12th,8,Never-married,?,Own-child,Other,Male,0,0,40,United-States,0
75,Private,35724,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,8,United-States,0
61,Private,270599,1st-4th,2,Widowed,?,Not-in-family,White,Female,0,0,18,Mexico,0
21,Private,278391,Some-college,10,Never-married,?,Own-child,White,Male,0,0,16,United-States,0
27,Private,291547,Bachelors,13,Married-civ-spouse,?,Not-in-family,Other,Female,0,0,6,Mexico,0
49,Private,141483,10th,6,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,0
19,Private,140590,12th,8,Never-married,?,Own-child,Black,Male,0,0,30,United-States,0
27,Private,216479,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,24,United-States,1
21,Private,213366,Some-college,10,Never-married,?,Own-child,White,Female,0,0,38,United-States,0
17,Private,103810,12th,8,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
66,Private,188686,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,4,United-States,0
65,Private,117162,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,0,0,56,United-States,1
67,Private,110122,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,32,United-States,1
21,Private,494638,Assoc-acdm,12,Never-married,?,Own-child,White,Male,0,0,15,United-States,0
38,Private,281768,7th-8th,4,Divorced,?,Unmarried,Black,Female,0,0,30,United-States,0
